"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" , "Avg_TotalPress" ,  "Pressure_Drop" ,   "SoundSpeed"   ,"Avg_Massflow(INLET_JET)","Avg_Massflow(OUTLET)","Avg_Mach(INLET_JET)","Avg_Mach(OUTLET)","Avg_Temp(INLET_JET)","Avg_Temp(OUTLET)","Avg_Press(INLET_JET)","Avg_Press(OUTLET)","Avg_Density(INLET_JET)","Avg_Density(OUTLET)","Avg_Enthalpy(INLET_JET)","Avg_Enthalpy(OUTLET)","Avg_NormalVel(INLET_JET)","Avg_NormalVel(OUTLET)","Uniformity(INLET_JET)","Uniformity(OUTLET)","Secondary_Strength(INLET_JET)","Secondary_Strength(OUTLET)","Momentum_Distortion(INLET_JET)","Momentum_Distortion(OUTLET)","Secondary_Over_Uniformity(INLET_JET)","Secondary_Over_Uniformity(OUTLET)","Avg_TotalTemp(INLET_JET)","Avg_TotalTemp(OUTLET)","Avg_TotalPress(INLET_JET)","Avg_TotalPress(OUTLET)"
          0,           0,          10,      -2.537521911,      0.5128025589,     -0.2597422294,       2.976285521,      -3.431474881,       1.027917719,     -0.2007952197,      0.5957734221,       554.5184682,       702931.3148,       8.677091921,        575103.343,       -188.881356,       188.9214763,          17.4639067,                 -nan,                        inf,       572.4112122,       769227.5572,       208428.2813,       338.3682943,            -0.2007952197,                     0,          0.592289619,    0.003483803094,          254.8811314,       299.6373368,           247251.5167,         455679.798,             3.379308997,          5.297782924,              274055.8997,           301047.4433,               -188.881356,                      0,            188.9214763,                   0,                    16.14710501,                 1.316801686,                 0.0004248644679,                         -nan,                         0.08546992819,                                inf,               272.7730125,            299.6381997,                 313543.165,             455684.3922
          0,           0,          11,      -2.629531546,      0.4748554164,     -0.2839336503,       2.883465758,      -3.458875578,       1.000517026,     -0.2083760312,      0.6155396969,       554.4700238,       703324.4242,       8.685204064,       576223.9765,      -195.1955266,       195.2387158,         14.74823884,                 -nan,                        inf,       573.5266005,       774624.8734,       206576.6342,       338.3775616,            -0.2083760312,                     0,         0.6111370606,    0.004402636308,          254.9707342,       299.4992896,            248373.895,        454950.5292,             3.393461721,          5.291742344,              275314.7326,            300909.244,              -195.1955266,                      0,            195.2387158,                   0,                    13.09636752,                 1.651871321,                 0.0004425717952,                         -nan,                         0.06707874238,                                inf,                274.025953,            299.5006475,                319667.1227,             454957.7506
          0,           0,          12,      -2.677540525,      0.4036445137,     -0.3096202178,       2.820989928,      -3.483326864,      0.9760657418,     -0.2128380955,      0.6283642457,       554.1753158,       702810.8328,       8.684069622,       576670.8514,      -199.1078408,       199.1546917,         12.55228989,                 -nan,                        inf,       573.9713842,       777247.8423,       205719.0077,       338.3160391,            -0.2128380955,                     0,         0.6230707639,    0.005293481818,          254.8058531,       299.3694627,           248545.9125,        454264.9202,             3.398010505,          5.286059118,              275891.4554,            300779.396,              -199.1078408,                      0,            199.1546917,                   0,                    10.57540374,                 1.976886156,                 0.0004706633582,                         -nan,                         0.05310145418,                                inf,               274.5999765,            299.3714076,                322972.5906,             454275.2517
          0,           0,          13,      -2.768861265,       0.334466584,     -0.3975967936,       2.717835702,      -3.503053648,      0.9563390075,     -0.2161274325,      0.6374058218,        553.996748,       702604.6467,       8.685423735,       577014.6233,      -201.7941577,       201.8452079,         11.11598566,                 -nan,                        inf,       574.3135474,       779343.4061,        204669.075,       338.2411453,            -0.2161274325,                     0,         0.6312681177,    0.006137704101,          254.7463105,       299.2504374,           248967.7858,        453636.8609,             3.404573418,          5.280850317,              276354.1566,           300660.4667,              -201.7941577,                      0,            201.8452079,                   0,                    8.831221848,                 2.284763811,                 0.0005060270748,                         -nan,                         0.04375244742,                                inf,               275.0605121,            299.2530353,                325692.7588,             453650.6473
          0,           0,          14,      -2.868262565,      0.3157141254,      -0.475948967,       2.616567487,       -3.51778945,      0.9416033119,     -0.2194534159,      0.6453363126,        554.016865,       703045.9474,       8.692792284,       577510.9708,      -204.1744533,       204.2292377,          10.3678833,                 -nan,                        inf,       574.8075718,       782031.6306,       203094.9867,       338.1828725,            -0.2194534159,                     0,         0.6384099177,    0.006926394858,          254.8738719,       299.1429931,           249975.4803,        453070.4671,             3.416641029,          5.276151255,              276957.7562,           300553.2146,              -204.1744533,                      0,            204.2292377,                   0,                    7.795749337,                 2.572133964,                 0.0005367142019,                         -nan,                         0.03817156361,                                inf,               275.6612863,            299.1462855,                328943.7067,             453087.9238
          0,           0,          15,      -2.826116181,      0.3668568927,     -0.5334100614,       2.656728302,      -3.527189568,      0.9322033115,     -0.2232973048,      0.6537168448,       554.1835735,       704009.2416,       8.705120249,       578205.3061,       -206.751297,       206.8084561,         10.10787053,                 -nan,                        inf,       575.4986574,       785577.0547,       201128.7445,       338.1504471,            -0.2232973048,                     0,         0.6460643656,     0.00765247919,          255.1358114,        299.047762,           251440.2486,        452568.9931,             3.433130471,          5.271989778,              277747.0562,           300458.2499,               -206.751297,                      0,            206.8084561,                   0,                    7.271527449,                 2.836343076,                 0.0005530022666,                         -nan,                         0.03516068728,                                inf,               276.4468917,            299.0517656,                332986.8513,             452590.2034
          0,           0,          16,      -2.716258154,      0.3763787051,     -0.4979206106,       2.764617036,      -3.534332806,      0.9250602406,      -0.227659878,      0.6629379186,       554.4276085,       705276.7809,       8.720349973,       579050.5074,      -209.6360388,       209.6949748,         10.09498784,                 -nan,                        inf,       576.3399026,       789823.7399,       198979.5056,       338.1405409,             -0.227659878,                     0,          0.654620373,    0.008317545568,          255.4636516,       298.9639569,           253148.6377,        452128.1432,             3.452019241,          5.268330733,              278675.7426,           300374.7647,              -209.6360388,                      0,            209.6949748,                   0,                     7.01705763,                 3.077930213,                 0.0005623483753,                         -nan,                         0.03346316543,                                inf,                277.371231,            298.9686716,                337670.6369,              452153.103
          0,           0,          17,      -2.711052725,      0.3200391793,     -0.4838492411,       2.757622017,      -3.548474131,      0.9109191778,     -0.2323487847,      0.6728464032,        554.690752,       706641.6976,       8.736446404,       579975.4223,      -212.7637804,       212.8241856,         10.13572419,                 -nan,                        inf,       577.2604883,       794477.0566,       196843.6761,       338.1464128,            -0.2323487847,                     0,         0.6639212921,    0.008925111081,          255.8001497,       298.8906023,           254899.0108,        451742.6868,             3.471315229,          5.265131175,              279673.6551,           300301.7672,              -212.7637804,                      0,            212.8241856,                   0,                    6.837491189,                 3.298232997,                 0.0005678947382,                         -nan,                         0.03212741621,                                inf,               278.3644723,             298.896016,                342705.7268,             451771.3298
          0,           0,          18,      -2.815098627,       0.340396395,     -0.6465799921,        2.66392336,      -3.564103679,      0.8952899398,     -0.2371519864,      0.6831198577,       554.9392933,       707964.7376,       8.751991099,       580922.9353,      -216.0204033,       216.0820278,         10.10843781,                 -nan,                        inf,       578.2035663,       799272.3962,       194845.9959,       338.1623894,            -0.2371519864,                     0,         0.6736395703,    0.009480287439,          256.1129416,       298.8263517,           256559.3708,        451405.3667,             3.489660207,          5.262330893,              280685.0384,           300237.8968,              -216.0204033,                      0,            216.0820278,                   0,                    6.609320263,                 3.499117546,                  0.000570625148,                         -nan,                         0.03058708922,                                inf,               279.3711213,             298.832445,                347834.8086,             451437.5876
          0,           0,          19,      -2.760462119,      0.3601746454,     -0.6190880811,       2.724458819,      -3.570397674,      0.8889961277,     -0.2418792164,      0.6933786943,       555.1612132,       709179.1723,       8.766256493,        581853.998,      -219.2785164,       219.3410962,         9.966599649,                 -nan,                        inf,       579.1302709,       804009.2908,       193048.9031,       338.1834861,            -0.2418792164,                     0,         0.6833909518,    0.009987742495,          256.3904021,        298.770811,           258065.1346,        451114.0377,             3.506344171,          5.259912321,              281671.2458,           300182.7522,              -219.2785164,                      0,            219.3410962,                   0,                    6.284331294,                 3.682268355,                 0.0005708614327,                         -nan,                         0.02865095234,                                inf,                280.352712,            298.7775589,                352859.5877,             451149.7031
