"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,     "rms[k]"     ,     "rms[w]"     
         393,      -2.805675601,      0.2205117759,      -4.280235885,      0.1791544534
         394,       -3.00932939,      0.1412806024,      -4.427348669,     0.03204144164
         395,      -3.027553374,        0.21313534,      -4.452787166,    0.006602559387
         396,      -3.007275145,      0.2900410689,      -4.427402909,     0.03198711034
         397,      -2.896643598,      0.3512649236,      -4.284742737,      0.1746474028
         398,       -2.73491043,      0.3858887735,      -4.205958576,      0.2534316871
         399,       -2.71504917,      0.3637444716,      -4.177074145,      0.2823161469
         400,      -2.736748789,      0.3239305898,      -4.207673316,      0.2517169098
         401,      -2.770032197,      0.2660962113,      -4.181179573,      0.2782106545
         402,      -2.828720777,      0.1983773625,      -4.172569838,      0.2868204651
         403,      -2.830129452,      0.2266769184,      -4.160233352,      0.2991569341
         404,      -2.814693557,      0.2733854692,      -4.181091441,      0.2782987453
         405,       -2.76472651,      0.2932934505,      -4.225557668,      0.2338324951
         406,      -2.753697871,      0.3051780768,       -4.25852762,      0.2008625009
         407,      -2.758216242,      0.3359699135,      -4.224313865,      0.2350762472
         408,      -2.736202144,      0.2889437841,       -4.17955559,      0.2798345458
         409,      -2.803121584,      0.1966611772,      -4.190275235,      0.2691150072
         410,      -2.880398253,      0.1887406148,      -4.280807362,      0.1785828274
         411,      -2.999238411,      0.2439882219,      -4.287034321,      0.1723557054
         412,      -2.892055668,      0.3158034921,      -4.264382523,       0.195007651
         413,      -2.744865054,      0.3650937435,      -4.246815235,      0.2125749776
         414,      -2.732497909,      0.3691259693,      -4.250105353,       0.209284953
         415,      -2.742572777,      0.3709995015,      -4.285347214,      0.1740429041
         416,      -2.738118069,       0.373079848,      -4.238595941,      0.2207943732
         417,      -2.725376697,      0.3701573222,      -4.202894883,      0.2564952993
         418,      -2.720754554,      0.3532845422,      -4.228217942,      0.2311721575
         419,      -2.745732132,      0.3224034215,       -4.18724886,      0.2721414524
         420,      -2.766913481,      0.2551699035,      -4.185779337,       0.273610844
         421,      -2.853903701,      0.1642483139,      -4.164157064,      0.2952331851
         422,      -2.847655511,      0.2056979628,      -4.182624503,      0.2767658238
         423,      -2.844548036,      0.2427401545,      -4.164862468,      0.2945278515
         424,      -2.793366682,      0.2483951239,      -4.132458324,      0.3269320306
         425,      -2.826200757,      0.1989447852,      -4.242016702,      0.2173734585
         426,      -2.927490795,      0.2514071044,      -4.245307866,      0.2140821997
         427,      -2.843212797,      0.3361930733,      -4.206829207,      0.2525609621
         428,      -2.724737645,      0.3667320273,      -4.220851355,      0.2385387913
         429,      -2.725370291,      0.3561860845,      -4.202404829,      0.2569854042
         430,      -2.735245324,      0.3365585869,      -4.219035332,      0.2403549265
         431,      -2.738182323,      0.3345742332,      -4.157874775,      0.3015154982
         432,      -2.732338692,      0.2961082016,      -4.147132835,      0.3122573493
         433,      -2.807216631,      0.2256907561,       -4.24481483,       0.214575379
         434,      -2.934561534,      0.2610718534,      -4.245109169,      0.2142810182
         435,      -2.828272472,      0.3465373678,      -4.204013034,      0.2553771118
         436,       -2.71810704,      0.3745010789,      -4.190556698,      0.2688334739
         437,      -2.712178337,      0.3600714029,      -4.179932371,      0.2794578077
         438,      -2.724382564,      0.3455064841,      -4.185668143,      0.2737220948
         439,      -2.713671636,      0.3296720124,      -4.165511394,      0.2938788671
         440,      -2.720387457,      0.3053363243,      -4.143761597,      0.3156287106
         441,      -2.771507058,      0.1975028799,      -4.245474922,      0.2139152196
         442,      -2.973984413,     0.01631181998,      -4.333607196,      0.1257830252
         443,       -3.02125777,   -0.009634826115,      -4.342054204,      0.1173357736
         444,      -3.058658181,       0.146124924,      -4.210067307,      0.2493229361
         445,      -2.932654997,      0.2575098567,      -4.174813599,      0.2845765654
         446,       -2.78107071,      0.2696536557,      -4.115057348,       0.344333047
         447,      -2.783580104,      0.1831519557,      -4.185951782,       0.273438514
         448,       -2.88957694,      0.2581982048,      -4.258397956,      0.2009922521
         449,      -2.778073968,      0.3082035116,      -4.178686032,      0.2807040951
         450,      -2.819578319,      0.2431042515,      -4.230323234,      0.2290668842
         451,      -2.931338024,      0.2463260625,      -4.270437832,      0.1889522339
         452,      -2.851729817,      0.3276371255,      -4.179045732,      0.2803444309
         453,      -2.718916993,      0.3643448917,      -4.181030801,      0.2783593102
         454,       -2.71971737,       0.346833911,      -4.237151614,      0.2222384836
         455,      -2.767026973,      0.3237161244,      -4.271415876,      0.1879743342
         456,      -2.783750789,      0.3079213685,      -4.301745331,      0.1576447973
         457,      -2.849376108,      0.3100737379,      -4.385446259,     0.07394369744
         458,      -2.829791293,       0.350574377,      -4.289575959,      0.1698140307
         459,       -2.73321982,      0.3859582075,       -4.22528189,      0.2341082115
         460,      -2.711991436,      0.3632866104,      -4.202828671,      0.2565615238
         461,      -2.742922655,      0.3153844469,         -4.220885,      0.2385051619
         462,      -2.783090307,      0.2571558876,      -4.218251031,      0.2411391846
         463,      -2.869817749,      0.2041952836,      -4.168356813,      0.2910334187
         464,      -2.838960731,      0.2399990269,      -4.184563698,      0.2748265971
         465,      -2.841854545,      0.2874746205,      -4.191702239,      0.2676880481
         466,      -2.756588885,      0.3212367128,      -4.188530575,      0.2708595845
         467,      -2.737167016,      0.3296605851,      -4.228815547,      0.2305745575
         468,      -2.733347618,      0.3676645112,       -4.21801857,      0.2413715406
         469,      -2.712029404,      0.3573891729,      -4.182420317,      0.2769698567
         470,      -2.738383666,      0.3251863036,      -4.197093403,      0.2622968011
         471,       -2.76829922,      0.2879644612,      -4.213195983,      0.2461940939
         472,      -2.829668231,      0.2745771208,      -4.243804411,      0.2155857124
         473,      -2.794606684,      0.3193684393,      -4.165399522,      0.2939906895
         474,      -2.718158864,      0.3028066597,      -4.144121076,      0.3152692097
         475,      -2.784000386,      0.2347963957,      -4.153625043,      0.3057652423
         476,      -2.912091889,      0.2540565325,      -4.230588462,      0.2288016127
         477,       -2.84001555,      0.3188318841,      -4.181850497,      0.2775397901
         478,      -2.731953501,      0.3517501767,      -4.175679763,      0.2837105131
         479,      -2.717756612,      0.3158597064,      -4.173696925,      0.2856932836
         480,       -2.75921802,      0.2603621695,      -4.168742627,      0.2906476066
         481,      -2.801942941,      0.2394935503,      -4.146245891,      0.3131443487
         482,      -2.873205541,      0.2642730497,      -4.199216072,      0.2601740156
         483,      -2.821133411,      0.3297215772,      -4.171681455,      0.2877088022
         484,      -2.718231752,      0.3590886626,      -4.181692059,       0.277698179
         485,      -2.718432923,      0.3399186863,      -4.195247386,      0.2641428691
         486,      -2.723818325,      0.3358011248,      -4.185714045,      0.2736762024
         487,      -2.718266794,      0.2965734662,      -4.182087157,      0.2773030807
         488,      -2.791390149,      0.2184795771,      -4.216835988,      0.2425541793
         489,      -2.862341869,      0.1239844796,      -4.260473237,      0.1989168706
         490,      -3.065745289,      0.1691825195,      -4.309240929,      0.1501491888
         491,      -3.018899834,      0.2526941923,      -4.221578304,      0.2378118395
         492,      -2.869864835,        0.28652469,      -4.220249143,      0.2391409501
         493,        -2.7679728,       0.314450083,      -4.223577274,      0.2358128927
         494,      -2.763221477,      0.3192481997,      -4.222860203,      0.2365299704
         495,      -2.758566906,        0.33018693,      -4.163140168,      0.2962500311
         496,      -2.746473851,      0.2589278924,      -4.131751446,      0.3276387674
         497,      -2.824109011,      0.1597791422,       -4.13970741,      0.3196828415
         498,      -2.838837492,      0.1886686697,      -4.171606892,       0.287783404
         499,      -2.862243285,      0.2283116193,      -4.176651855,      0.2827384054
