"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -2.258584206,     0.09749584175,      0.1335926574,       3.660326534,      -4.896846725
          0,           0,           1,      -2.167495294,      0.3959036206,      0.4261920788,       3.070855222,       -5.18086329
          0,           0,           2,       -2.08291137,      0.3091650846,     0.05675601433,       3.492850955,      -5.638394675
          0,           0,           3,      -2.303413492,      0.2043207325,     0.05872925004,       3.308394415,        -5.8534332
          0,           0,           4,      -2.589867096,      0.1465839875,     -0.2473223415,       2.998010266,      -5.978544733
          0,           0,           5,       -2.81246268,     0.08985714491,     -0.5066843167,       2.714743204,      -6.089800452
          0,           0,           6,      -2.922626085,     0.02581135579,     -0.7025075056,       2.536681955,      -6.184929105
          0,           0,           7,      -2.964992028,    -0.03726094217,     -0.9232696481,       2.398746264,      -6.255808828
          0,           0,           8,      -2.994078184,    -0.09572986893,      -1.092727197,       2.270550156,      -6.317157031
          0,           0,           9,      -3.030174662,      -0.150401429,      -1.153643186,       2.157837935,      -6.368419543
          0,           0,          10,      -3.070454361,     -0.2023843782,      -1.208216393,       2.068313966,       -6.41587625
          0,           0,          11,      -3.111920036,     -0.2520933837,       -1.28470492,       1.996217945,      -6.461566951
          0,           0,          12,      -3.153890061,     -0.2996666166,       -1.35889646,       1.934809812,      -6.507044469
          0,           0,          13,      -3.195134648,      -0.345193917,      -1.415059532,       1.879835244,      -6.549605475
          0,           0,          14,      -3.234448343,      -0.388809614,      -1.460117216,       1.829682014,      -6.589231028
          0,           0,          15,      -3.271143258,     -0.4306956221,      -1.506777383,       1.784020284,       -6.62525797
          0,           0,          16,      -3.304856874,     -0.4710398168,      -1.561042694,       1.742161481,      -6.657778789
          0,           0,          17,      -3.335587082,     -0.5099894934,      -1.621117522,       1.703008957,      -6.685198678
          0,           0,          18,      -3.363629905,     -0.5476104898,      -1.678463049,       1.665916877,       -6.71538319
          0,           0,          19,      -3.389364298,     -0.5838944753,      -1.722689485,       1.631150183,      -6.742887801
          0,           0,          20,      -3.413107332,     -0.6188317141,      -1.752220689,       1.598544191,      -6.769803934
          0,           0,          21,      -3.435154798,     -0.6524670842,      -1.776434781,       1.568399644,      -6.798502965
          0,           0,          22,      -3.455764954,     -0.6848940053,      -1.805414032,       1.540695813,      -6.827724922
          0,           0,          23,      -3.475172421,     -0.7162054067,      -1.842043471,       1.515012665,      -6.857257728
          0,           0,          24,      -3.493558938,     -0.7464546497,      -1.882143797,       1.490599986,      -6.882026168
          0,           0,          25,      -3.511069117,      -0.775658401,      -1.918817761,       1.466966374,      -6.903472409
          0,           0,          26,      -3.527793752,     -0.8038257658,      -1.948321831,       1.444092893,       -6.92241881
          0,           0,          27,      -3.543795101,      -0.830983503,      -1.972474654,       1.422213111,      -6.942236416
          0,           0,          28,       -3.55913874,     -0.8571787899,      -1.995510014,       1.401496827,      -6.963913395
          0,           0,          29,      -3.573898193,     -0.8824656933,      -2.020050872,       1.381818751,      -6.992309121
          0,           0,          30,       -3.58814605,     -0.9068909476,      -2.046099481,       1.362873197,       -7.02190957
          0,           0,          31,      -3.601929759,       -0.93048888,      -2.072373555,       1.344383762,      -7.047926387
          0,           0,          32,      -3.615269964,     -0.9532853643,      -2.097945604,        1.32627165,       -7.06964137
          0,           0,          33,      -3.628173996,     -0.9753043258,      -2.122838617,        1.30862497,      -7.086829227
          0,           0,          34,      -3.640648426,     -0.9965717426,      -2.147524536,        1.29155729,      -7.100007429
          0,           0,          35,      -3.652710195,      -1.017116715,      -2.172231283,       1.275110717,      -7.110965934
          0,           0,          36,      -3.664386529,      -1.036970648,      -2.196773234,       1.259243877,      -7.121327914
          0,           0,          37,      -3.675712003,      -1.056166275,      -2.220846726,       1.243884395,      -7.131619162
          0,           0,          38,      -3.686719692,      -1.074736182,      -2.244369566,       1.228974323,      -7.141415738
